ADP,Admissão,Desligamento,Desligado?,Iniciativa Desligamento,Tempo de Casa,Cod.Cargo,Cargo,Cod.Cargo Admissão,Cargo Admissão,CC,Area,Diretoria,Estado Civil,Educação,Idade Atual/ Desligamento,Idade na Admissão,Sexo,Banda,Nivel,Hora Extra 2016,Hora Negativa 2016,Ad. Noturno 2016,Absenteísmo 2016,Hora Extra 2017,Hora Negativa 2017,Ad. Noturno 2017,Absenteísmo 2017,2012/13 Rating,2012/13 Goal Achievement,2013/14 Rating,2013/14 Goal Achievement,2014/15 Rating,2014/15 Goal Achievement,2015/16 Rating,2015/16 Goal Achievement,2016/17 Rating,2016/17 Goal Achievement,AUMENTO 2012,AUMENTO 2013,AUMENTO 2014,AUMENTO 2015,AUMENTO 2016,AUMENTO 2017,DISSIDIO 2012,DISSIDIO 2013,DISSIDIO 2014,DISSIDIO 2015,DISSIDIO 2016,DISSIDIO 2017,MERITO 2012,MERITO 2013,MERITO 2014,MERITO 2015,MERITO 2016,MERITO 2017,PROMOÇÃO 2012,PROMOÇÃO 2013,PROMOÇÃO 2014,PROMOÇÃO 2015,PROMOÇÃO 2016,PROMOÇÃO 2017,PROMOVIDO
1,10/1/2001,          ,N,,17.3,762,DIRETORIA,698,GERENTE,1120,Strategy & New Products,Strategy & New Products,CASADO,PÓS GRADUAÇÃO                      ,52,36.7287671232877,H,700,Organizational Leaders,,,,0,,,,0,E,,Q,94.3,Q,103.6,Q,109,Q,106.6,,,,,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,,,,,,0
5,10/1/2001,12/3/2012,Y,Funcionário,11.2,736,DIRETORIA,699,GERENTE,1121,Latam,Latam,CASADO,PÓS GRADUAÇÃO                      ,42.8465753424658,31.6657534246575,H,700,Organizational Leaders,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,0
10,10/1/2001,          ,N,,17.3,734,GERENTE SR,626,COORDENADOR,1220,Engineering,Operations,CASADO,SUPERIOR COMPLETO,42,27.0684931506849,M,650,SR Mgmt & Experts,,,,0,,,,0,Q,,Q,97.5,Q,108.1,E,108,E,105.5,,,,,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,,,,,,,0
14,10/1/2001,5/31/2011,Y,Funcionário,9.7,643,GERENTE,630,COORDENADOR,1010,Accounting & Tax,Finance,CASADO,PÓS GRADUAÇÃO                      ,43.0794520547945,33.4109589041096,H,600,SR Mgmt & Experts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,10/1/2001,9/1/2010,Y,Empregador ,8.9,681,DIRETORIA,681,DIRETORIA,1010,Accounting & Tax,Finance,SEPARADO,PÓS GRADUAÇÃO                      ,43.6821917808219,34.758904109589,H,700,Organizational Leaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,10/1/2001,4/1/2015,Y,Funcionário,13.5,815,DIRETORIA,684,COORDENADOR,1000,Administrative,Administrative,CASADO,PÓS GRADUAÇÃO                      ,34.6602739726027,21.1534246575342,H,700,Organizational Leaders,,,,,,,,,Q,,,,Q,,,,,,,,,,,,Y,Y,Y,,,,,Y,Y,,,,,,,,,,0
22,10/1/2001,8/1/2011,Y,Empregador ,9.8,740,GERENTE,654,COORDENADOR,1250,Maintenance,Operations,CASADO,PÓS GRADUAÇÃO                      ,37.0082191780822,27.1698630136986,M,500,Middle Mgmt & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,10/1/2001,11/22/2012,Y,Funcionário,11.2,683,DIRETORIA,683,DIRETORIA,1030,Legal,Legal,CASADO,PÓS GRADUAÇÃO                      ,36.6630136986301,25.5123287671233,H,700,Organizational Leaders,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,0
24,10/1/2001,          ,N,,17.3,865,DIRETORIA,682,GERENTE,1002,Integration,Operations,CASADO,SUPERIOR COMPLETO,45,29.7671232876712,H,700,Organizational Leaders,,,,0,,,,0,E,,Q,90.5,Q,117.2,Q,110.4,Q,113.3,,,,,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,Y,,,,,1
27,10/1/2001,12/1/2010,Y,Empregador ,9.2,655,GERENTE,661,ANALISTA PL,1100,Sales,Sales,SOLTEIRO,SUPERIOR COMPLETO,33.1260273972603,23.9534246575342,M,400,Middle Mgmt & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,10/1/2001,4/16/2009,Y,Empregador ,7.5,734,GERENTE SR,658,GERENTE,1250,Maintenance,Operations,CASADO,SUPERIOR COMPLETO,39.2520547945205,31.7068493150685,H,650,SR Mgmt & Experts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,10/1/2001,7/4/2008,Y,Funcionário,6.8,655,GERENTE,661,ANALISTA PL,1100,Sales,Sales,CASADO,SUPERIOR COMPLETO,29.6520547945205,22.8904109589041,M,400,Middle Mgmt & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,6/18/2001,11/16/2012,Y,Funcionário,11.4,790,DIRETORIA,666,DIRETORIA,1000,Administrative,Administrative,CASADO,PÓS GRADUAÇÃO                      ,40.9698630136986,29.5479452054794,H,850,Organizational Leaders,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,0
35,10/2/2001,8/3/2015,Y,Empregador ,13.8,690,SUPERVISOR,690,SUPERVISOR,1018,Landlord,Finance,CASADO,ENSINO MÉDIO COMPLETO,44.9808219178082,31.1369863013699,H,100,Entry Level,,,,,,,,,D,,Q,97,Q,,,,,,,,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,0
40,9/2/2002,3/23/2012,Y,Funcionário,9.6,803,COORDENADOR,694,ANALISTA JR,1013,Treasury,Finance,SOLTEIRO,SUPERIOR COMPLETO,34.813698630137,25.2520547945205,M,300,Coord & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
41,9/16/2002,          ,N,,16.3,861,GERENTE,637,ANALISTA PL,1030,Legal,Legal,SEPARADO,PÓS GRADUAÇÃO                      ,43,28.8027397260274,M,600,SR Mgmt & Experts,,,,0,,,,0,Q,,Q,96,Q,105.4,Q,103.5,Q,100.6,,,,,,,Y,Y,Y,Y,Y,,Y,,,,,Y,,Y,,,,,1
42,9/26/2002,10/7/2011,Y,Empregador ,9.0,786,GERENTE,695,SUPERVISOR,1010,Accounting & Tax,Finance,CASADO,SUPERIOR COMPLETO,39.6958904109589,30.6602739726027,H,600,SR Mgmt & Experts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
43,11/19/2002,7/7/2009,Y,Empregador ,6.6,650,ASSISTENTE,650,ASSISTENTE,1250,Maintenance,Operations,CASADO,SUPERIOR COMPLETO,47.9397260273973,41.3041095890411,M,100,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
45,6/26/2001,11/1/2011,Y,Empregador ,10.4,677,DIRETORIA,677,DIRETORIA,1121,Latam,Latam,CASADO,SUPERIOR COMPLETO,41.8438356164384,31.4876712328767,H,700,Organizational Leaders,,,,,,,,,Q,,Q,89.5,,,,,,,,,,,,,Y,Y,Y,Y,,,Y,Y,,,,,,,,,,,0
46,8/26/2002,          ,N,,16.4,866,GERENTE,672,ASSISTENTE,1290,Power Solutions,Operations,SOLTEIRO,SUPERIOR COMPLETO,46,31.3753424657534,H,600,SR Mgmt & Experts,,,,0,,,,0,E,,Q,91,Q,99.4,Q,105.1,Q,103.8,,,,Y,,,Y,Y,Y,Y,Y,,Y,,Y,Y,,Y,,Y,,,,,1
48,2/4/2004,6/22/2011,Y,Empregador ,7.4,535,GERENTE,622,ANALISTA PL,1040,HR,HR & Facilities,SOLTEIRO,SUPERIOR COMPLETO,35.772602739726,28.3890410958904,M,500,Middle Mgmt & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
49,6/1/2004,12/31/2010,Y,Empregador ,6.6,545,DIRETORIA,545,DIRETORIA,1010,Accounting & Tax,Finance,CASADO,PÓS GRADUAÇÃO                      ,56.0602739726027,49.4739726027397,H,700,Organizational Leaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
50,6/9/2005,10/1/2009,Y,Empregador ,4.3,641,SUPERVISOR,640,ANALISTA PL,1250,Maintenance,Operations,SOLTEIRO,SUPERIOR COMPLETO,27.3013698630137,22.986301369863,H,200,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
51,6/13/2005,10/1/2010,Y,Empregador ,5.3,771,SUPERVISOR,640,ANALISTA PL,1250,Maintenance,Operations,CASADO,TÉCNICO COMPLETO                   ,40.7616438356164,35.4575342465753,H,300,Coord & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52,6/13/2005,          ,N,,13.6,626,COORDENADOR,640,ANALISTA PL,1051,IT - Infra,IT,CASADO,SUPERIOR COMPLETO,52,40.1178082191781,H,300,Coord & Exp.Professionals,413.913333333333,0,7.15,0,85.7333333333333,0,0,0,E,,E,98,Q,105,Q,101.8,Q,100.3,,,,,,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,,,,,0
53,6/13/2005,          ,N,,13.6,797,GERENTE,640,ANALISTA PL,1250,Maintenance,Operations,CASADO,SUPERIOR COMPLETO,39,26.9534246575342,H,500,Middle Mgmt & Exp.Professionals,,,,0,,,,0,Q,,D,92,Q,100,Q,108.5,Q,99.8,,,,,,,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,0
54,10/10/2005,6/23/2015,Y,Empregador ,9.7,864,ANALISTA PL,686,ASSISTENTE,1052,IT - Latam,IT,CASADO,SUPERIOR COMPLETO,34.2520547945205,24.5452054794521,H,200,Entry Level,,,,,,,,,E,,,,D,,,,,,,,,,,,Y,Y,Y,Y,,,,,,,,,,Y,,,,,1
56,4/10/2006,7/1/2009,Y,Empregador ,3.2,687,ANALISTA PL,687,ANALISTA PL,1010,Accounting & Tax,Finance,SEPARADO,SUPERIOR COMPLETO,46.1232876712329,42.8958904109589,H,200,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
